"ST1. Nomenclature of 2,925 proteins analyzed in the Interval and LonGenity cohorts. Corresponding external identifiers were provided by Somalogic.",,,,,,,,,,
,,,,,,,,,,
ID,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units
HNF4A.10041.3.3,10041.3,3,SL007226,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,3172,HNF4A,Human,RFU
CUL3.10045.47.3,10045.47,3,SL010989,Cullin-3,CUL3,Q13618,8452,CUL3,Human,RFU
NCF2.10047.12.3,10047.12,3,SL004553,Neutrophil cytosol factor 2,NCF-2,P19878,4688,NCF2,Human,RFU
CBFB.10048.7.3,10048.7,3,SL011998,Core-binding factor subunit beta,PEBB,Q13951,865,CBFB,Human,RFU
GAN.10054.3.3,10054.3,3,SL019232,Gigaxonin,GAN,Q9H2C0,8139,GAN,Human,RFU
RAD23A.10058.1.3,10058.1,3,SL013796,UV excision repair protein RAD23 homolog A,RD23A,P54725,5886,RAD23A,Human,RFU
FANCL.10063.10.3,10063.1,3,SL019237,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,55120,FANCL,Human,RFU
TDP1.10073.22.3,10073.22,3,SL011411,Tyrosyl-DNA phosphodiesterase 1,TYDP1,Q9NUW8,55775,TDP1,Human,RFU
ACBD6.10075.75.3,10075.75,3,SL019254,Acyl-CoA-binding domain-containing protein 6,ACBD6,Q9BR61,84320,ACBD6,Human,RFU
AP4M1.10076.1.3,10076.1,3,SL019225,AP-4 complex subunit mu-1,AP4M1,O00189,9179,AP4M1,Human,RFU
BAG3.10078.5.3,10078.5,3,SL007063,BAG family molecular chaperone regulator 3,BAG3,O95817,9531,BAG3,Human,RFU
EIF2B1.10080.9.3,10080.9,3,SL019240,Translation initiation factor eIF-2B subunit alpha,EI2BA,Q14232,1967,EIF2B1,Human,RFU
SATB2.10081.17.3,10081.17,3,SL019243,DNA-binding protein SATB2,SATB2,Q9UPW6,23314,SATB2,Human,RFU
STAR.10085.25.3,10085.25,3,SL001714,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,6770,STAR,Human,RFU
CBS.10086.39.3,10086.39,3,SL018882,Cystathionine beta-synthase,CBS,P35520,875,CBS,Human,RFU
CRYAA.10087.10.3,10087.1,3,SL003675,Alpha-crystallin A chain,Alpha crystallin A chain,P02489,102724652,CRYAA,Human,RFU
ASMTL.10089.7.3,10089.7,3,SL019244,N-acetylserotonin O-methyltransferase-like protein,ASML,O95671,8623,ASMTL,Human,RFU
ENO2.10339.48.3,10339.48,3,SL001731,Gamma-enolase,NSE,P09104,2026,ENO2,Human,RFU
STAT3.10346.5.3,10346.5,3,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,RFU
JUN.10356.21.3,10356.21,3,SL000455,Transcription factor AP-1,c-Jun,P05412,3725,JUN,Human,RFU
OAS1.10361.25.3,10361.25,3,SL014684,2'-5'-oligoadenylate synthase 1,OAS1,P00973,4938,OAS1,Human,RFU
MYC.10362.35.3,10362.35,3,SL002565,Myc proto-oncogene protein,c-Myc,P01106,4609,MYC,Human,RFU
SMAD2.10364.6.3,10364.6,3,SL004101,Mothers against decapentaplegic homolog 2,SMAD2,Q15796,4087,SMAD2,Human,RFU
IL12B.IL23A.10365.132.3,10365.132,3,SL005184,Interleukin-23,IL-23,"P29460, Q9NPF7",3593 51561,IL12B.IL23A,Human,RFU
PDGFRA.10366.11.3,10366.11,3,SL001728,Platelet-derived growth factor receptor alpha,PDGFRA,P16234,5156,PDGFRA,Human,RFU
IL12A.IL12B.10367.62.3,10367.62,3,SL001716,Interleukin-12,IL-12,"P29459,  P29460",3592 3593,IL12A.IL12B,Human,RFU
STAT1.10370.21.3,10370.21,3,SL004396,Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,6772,STAT1,Human,RFU
STAT6.10372.18.3,10372.18,3,SL007229,Signal transducer and activator of transcription 6,STAT6,P42226,6778,STAT6,Human,RFU
MT1F.10416.79.3,10416.79,3,SL014687,Metallothionein-1F,MT1F,P04733,4494,MT1F,Human,RFU
SCARA5.10419.1.3,10419.1,3,SL014110,Scavenger receptor class A member 5,SCAR5,Q6ZMJ2,286133,SCARA5,Human,RFU
NPDC1.10424.31.3,10424.31,3,SL015264,Neural proliferation differentiation and control protein 1,NPDC1,Q9NQX5,56654,NPDC1,Human,RFU
B4GALT5.10425.3.3,10425.3,3,SL017972,"Beta-1,4-galactosyltransferase 5",B4GT5,O43286,9334,B4GALT5,Human,RFU
KCNE2.10427.2.3,10427.2,3,SL017955,Potassium voltage-gated channel subfamily E member 2,KCNE2,Q9Y6J6,9992,KCNE2,Human,RFU
KIR2DS2.10428.1.3,10428.1,3,SL018045,Killer cell immunoglobulin-like receptor 2DS2,KI2S2,P43631,100132285,KIR2DS2,Human,RFU
CSF2RA.10438.19.3,10438.19,3,SL007128,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2R,P15509,1438,CSF2RA,Human,RFU
CLMP.10440.26.3,10440.26,3,SL008621,CXADR-like membrane protein,ACAM,Q9H6B4,79827,CLMP,Human,RFU
TMEM190.10442.1.3,10442.1,3,SL018089,Transmembrane protein 190,TM190,Q8WZ59,147744,TMEM190,Human,RFU
APOM.10445.20.3,10445.2,3,SL004747,Apolipoprotein M,ApoM,O95445,55937,APOM,Human,RFU
PABPC3.10447.18.3,10447.18,3,SL018138,Polyadenylate-binding protein 3,PABP3,Q9H361,5042,PABPC3,Human,RFU
SYT3.10452.24.3,10452.24,3,SL018270,Synaptotagmin-3,SYT3,Q9BQG1,84258,SYT3,Human,RFU
IL31.10455.196.3,10455.196,3,SL004678,Interleukin-31,IL-31,Q6EBC2,386653,IL31,Human,RFU
CLEC14A.10461.57.3,10461.57,3,SL008885,C-type lectin domain family 14 member A,CLC14,Q86T13,161198,CLEC14A,Human,RFU
INSL5.10462.14.3,10462.14,3,SL012880,Insulin-like peptide INSL5,INSL5,Q9Y5Q6,10022,INSL5,Human,RFU
CTXN3.10467.58.3,10467.58,3,SL018341,Cortexin-3,CTXN3,Q4LDR2,613212,CTXN3,Human,RFU
LRRN3.10471.25.3,10471.25,3,SL018391,Leucine-rich repeat neuronal protein 3,LRRN3,Q9H3W5,54674,LRRN3,Human,RFU
MCFD2.10476.23.3,10476.23,3,SL012722,Multiple coagulation factor deficiency protein 2,MCFD2,Q8NI22,90411,MCFD2,Human,RFU
RPN1.10490.3.3,10490.3,3,SL011102,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,P04843,6184,RPN1,Human,RFU
M6PR.10491.21.3,10491.21,3,SL017268,Cation-dependent mannose-6-phosphate receptor,MPRD,P20645,3482,M6PR,Human,RFU
CALCA.10494.48.3,10494.48,3,SL003101,Procalcitonin,Procalcitonin,P01258,796,CALCA,Human,RFU
COX8A.10497.242.3,10497.242,3,SL014698,"Cytochrome c oxidase subunit 8A, mitochondrial",COX8A,P10176,1351,COX8A,Human,RFU
PRH1.10502.15.3,10502.15,3,SL011848,Salivary acidic proline-rich phosphoprotein 1/2,PRPC,P02810,5554,PRH1,Human,RFU
FAM159B.10504.6.3,10504.6,3,SL018608,Membrane protein FAM159B,F159B,A6NKW6,100132916,FAM159B,Human,RFU
PGRMC2.10506.53.3,10506.53,3,SL007962,Membrane-associated progesterone receptor component 2,PGRC2,O15173,10424,PGRMC2,Human,RFU
CSF2RB.10512.13.3,10512.13,3,SL007194,Cytokine receptor common subunit beta,IL3RB,P32927,1439,CSF2RB,Human,RFU
KCNIP3.10513.13.3,10513.13,3,SL018613,Calsenilin,CSEN,Q9Y2W7,30818,KCNIP3,Human,RFU
PTGDS.10514.5.3,10514.5,3,SL005360,Prostaglandin-H2 D-isomerase,PGD2 synthase,P41222,5730,PTGDS,Human,RFU
ITM2A.10516.53.3,10516.53,3,SL000672,Integral membrane protein 2A,ITM2A,O43736,9452,ITM2A,Human,RFU
IGSF9.10518.14.3,10518.14,3,SL018670,Protein turtle homolog A,TUTLA,Q9P2J2,57549,IGSF9,Human,RFU
MXRA8.10521.10.3,10521.1,3,SL017989,Matrix-remodeling-associated protein 8,MXRA8,Q9BRK3,54587,MXRA8,Human,RFU
PCDHB4.10522.167.3,10522.167,3,SL006804,Protocadherin beta-4,PCDB4,Q9Y5E5,56131,PCDHB4,Human,RFU
DHX9.10527.22.3,10527.22,3,SL013075,ATP-dependent RNA helicase A,DHX9,Q08211,1660,DHX9,Human,RFU
ZNF358.10529.19.3,10529.19,3,SL018704,Zinc finger protein 358,ZN358,Q9NW07,140467,ZNF358,Human,RFU
PCDHA4.10533.1.3,10533.1,3,SL018095,Protocadherin alpha-4,PCDA4,Q9UN74,56144,PCDHA4,Human,RFU
PARP1.10534.40.3,10534.4,3,SL003527,Poly [ADP-ribose] polymerase 1,PARP,P09874,142,PARP1,Human,RFU
LAT.10551.7.3,10551.7,3,SL007008,Linker for activation of T-cells family member 1,LAT,O43561,27040,LAT,Human,RFU
TOR1AIP2.10553.8.3,10553.8,3,SL017988,Torsin-1A-interacting protein 2,TOIP2,Q8NFQ8,163590,TOR1AIP2,Human,RFU
TEX29.10557.6.3,10557.6,3,SL018003,Testis-expressed sequence 29 protein,TEX29,Q8N6K0,121793,TEX29,Human,RFU
PCDH9.10558.26.3,10558.26,3,SL008436,Protocadherin-9,PCDH9,Q9HC56,5101,PCDH9,Human,RFU
ITM2C.10560.1.3,10560.1,3,SL017978,Integral membrane protein 2C,ITM2C,Q9NQX7,81618,ITM2C,Human,RFU
NETO2.10562.42.3,10562.42,3,SL015086,Neuropilin and tolloid-like protein 2,NETO2,Q8NC67,81831,NETO2,Human,RFU
LYSMD3.10563.13.3,10563.13,3,SL018021,LysM and putative peptidoglycan-binding domain-containing protein 3,LYSM3,Q7Z3D4,116068,LYSMD3,Human,RFU
SLITRK3.10565.19.3,10565.19,3,SL017951,SLIT and NTRK-like protein 3,SLIK3,O94933,22865,SLITRK3,Human,RFU
MGAT1.10571.14.3,10571.14,3,SL018096,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1,P26572,4245,MGAT1,Human,RFU
CST8.10572.65.3,10572.65,3,SL012372,Cystatin-8,CST8,O60676,10047,CST8,Human,RFU
PUF60.10575.31.3,10575.31,3,SL018139,Poly(U)-binding-splicing factor PUF60,PUF60,Q9UHX1,22827,PUF60,Human,RFU
NDUFS4.10584.7.3,10584.7,3,SL018289,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUS4,O43181,4724,NDUFS4,Human,RFU
APMAP.10605.22.3,10605.22,3,SL004748,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,57136,APMAP,Human,RFU
HTN1.10608.9.3,10608.9,3,SL012418,Histatin-1,HIS1,P15515,3346,HTN1,Human,RFU
DEFB134.10610.8.3,10610.8,3,SL012541,Beta-defensin 134,DB134,Q4QY38,613211,DEFB134,Human,RFU
PLOD3.10612.18.3,10612.18,3,SL008694,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",PLOD3,O60568,8985,PLOD3,Human,RFU
CASC4.10613.33.3,10613.33,3,SL018589,Protein CASC4,CASC4,Q6P4E1,113201,CASC4,Human,RFU
MPZ.10615.18.3,10615.18,3,SL008066,Myelin protein P0,MYP0,P25189,4359,MPZ,Human,RFU
MSMB.10620.21.3,10620.21,3,SL000548,Beta-microseminoprotein,PSP-94,P08118,4477,MSMB,Human,RFU
PRR16.10621.26.3,10621.26,3,SL018592,Protein Largen,PRR16,Q569H4,51334,PRR16,Human,RFU
SPINK13.10624.45.3,10624.45,3,SL018582,Serine protease inhibitor Kazal-type 13,ISK13,Q1W4C9,153218,SPINK13,Human,RFU
APLP2.10627.87.3,10627.87,3,SL007366,Amyloid-like protein 2,APLP2,Q06481,334,APLP2,Human,RFU
HTATIP2.10630.5.3,10630.5,3,SL007633,Oxidoreductase HTATIP2,HTAI2,Q9BUP3,10553,HTATIP2,Human,RFU
KIAA1324.10637.50.3,10637.5,3,SL007494,UPF0577 protein KIAA1324,K1324,Q6UXG2,57535,KIAA1324,Human,RFU
HLA.DMA.10639.1.3,10639.1,3,SL014752,"HLA class II histocompatibility antigen, DM alpha chain",2DMA,P28067,3108,HLA-DMA,Human,RFU
TOR1AIP2.10640.9.3,10640.9,3,SL017988,Torsin-1A-interacting protein 2,TOIP2,Q8NFQ8,163590,TOR1AIP2,Human,RFU
RCN2.10645.72.3,10645.72,3,SL018711,Reticulocalbin-2,RCN2,Q14257,5955,RCN2,Human,RFU
ASCC1.10647.18.3,10647.18,3,SL017894,Activating signal cointegrator 1 complex subunit 1,ASCC1,Q8N9N2,51008,ASCC1,Human,RFU
SEC11C.10658.28.3,10658.28,3,SL018820,Signal peptidase complex catalytic subunit SEC11C,SC11C,Q9BY50,90701,SEC11C,Human,RFU
MUC4.10659.49.3,10659.49,3,SL007611,Mucin-4,MUC4,Q99102,4585,MUC4,Human,RFU
SLC35B3.10660.33.3,10660.33,3,SL018844,Adenosine 3'-phospho 5'-phosphosulfate transporter 2,S35B3,Q9H1N7,51000,SLC35B3,Human,RFU
TMEM41B.10661.4.3,10661.4,3,SL018845,Transmembrane protein 41B,TM41B,Q5BJD5,440026,TMEM41B,Human,RFU
INSIG1.10663.42.3,10663.42,3,SL018014,Insulin-induced gene 1 protein,INSI1,O15503,3638,INSIG1,Human,RFU
HBG1.10665.30.3,10665.3,3,SL008874,Hemoglobin subunit gamma-1,HBG1,P69891,3047,HBG1,Human,RFU
GNPTG.10666.7.3,10666.7,3,SL012791,N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG,Q9UJJ9,84572,GNPTG,Human,RFU
C1orf185.10667.78.3,10667.78,3,SL018036,Uncharacterized protein C1orf185,CA185,Q5T7R7,284546,C1orf185,Human,RFU
CALY.10671.67.3,10671.67,3,SL018108,Neuron-specific vesicular protein calcyon,CALY,Q9NYX4,50632,CALY,Human,RFU
NDUFB4.10677.9.3,10677.9,3,SL007990,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUB4,O95168,4710,NDUFB4,Human,RFU
DYNAP.10692.48.3,10692.48,3,SL018570,Dynactin-associated protein,CR026,Q8N1N2,284254,DYNAP,Human,RFU
LRP1.10699.52.3,10699.52,3,SL018603,Prolow-density lipoprotein receptor-related protein 1,LRP1,Q07954,4035,LRP1,Human,RFU
IGSF11.10700.10.3,10700.1,3,SL017271,Immunoglobulin superfamily member 11,IGS11,Q5DX21,152404,IGSF11,Human,RFU
CDH12.10701.30.3,10701.3,3,SL004864,Cadherin-12,Cadherin-12,P55289,1010,CDH12,Human,RFU
COL28A1.10702.1.3,10702.1,3,SL012521,Collagen alpha-1(XXVIII) chain,COSA1,Q2UY09,340267,COL28A1,Human,RFU
LRMP.10704.91.3,10704.91,3,SL018605,Lymphoid-restricted membrane protein,LRMP,Q12912,4033,LRMP,Human,RFU
ST6GALNAC3.10705.14.3,10705.14,3,SL018611,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",SIA7C,Q8NDV1,256435,ST6GALNAC3,Human,RFU
GNRH2.10708.3.3,10708.3,3,SL007007,Progonadoliberin-2,GON2,O43555,2797,GNRH2,Human,RFU
CD300LB.10713.151.3,10713.151,3,SL017073,CMRF35-like molecule 7,CLM7,A8K4G0,124599,CD300LB,Human,RFU
PSMD5.10716.35.3,10716.35,3,SL010942,26S proteasome non-ATPase regulatory subunit 5,PSMD5,Q16401,5711,PSMD5,Human,RFU
WDR1.10723.41.3,10723.41,3,SL007976,WD repeat-containing protein 1,WDR1,O75083,9948,WDR1,Human,RFU
PCDHB2.10748.216.3,10748.216,3,SL018468,Protocadherin beta-2,PCDB2,Q9Y5E7,56133,PCDHB2,Human,RFU
GRIA4.10760.107.3,10760.107,3,SL018367,Glutamate receptor 4,GRIA4,P48058,2893,GRIA4,Human,RFU
TMED2.10761.5.3,10761.5,3,SL006541,Transmembrane emp24 domain-containing protein 2,TMED2,Q15363,10959,TMED2,Human,RFU
CSGALNACT2.10772.21.3,10772.21,3,SL017976,Chondroitin sulfate N-acetylgalactosaminyltransferase 2,CGAT2,Q8N6G5,55454,CSGALNACT2,Human,RFU
CD300E.10798.4.3,10798.4,3,SL018456,CMRF35-like molecule 2,CLM2,Q496F6,342510,CD300E,Human,RFU
LINGO3.10827.67.3,10827.67,3,SL018590,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3,LIGO3,P0C6S8,645191,LINGO3,Human,RFU
EFCAB14.10830.5.3,10830.5,3,SL018596,EF-hand calcium-binding domain-containing protein 14,K0494,O75071,9813,EFCAB14,Human,RFU
B4GALT6.10832.24.3,10832.24,3,SL018597,"Beta-1,4-galactosyltransferase 6",B4GT6,Q9UBX8,9331,B4GALT6,Human,RFU
GCNT4.10842.7.3,10842.7,3,SL018620,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",GCNT4,Q9P109,51301,GCNT4,Human,RFU
HNRNPDL.10852.114.3,10852.114,3,SL012987,Heterogeneous nuclear ribonucleoprotein D-like,HNRDL,O14979,9987,HNRNPDL,Human,RFU
FAM163B.10880.38.3,10880.38,3,SL018034,Protein FAM163B,F163B,P0C2L3,642968,FAM163B,Human,RFU
C6orf89.10885.36.3,10885.36,3,SL016472,Bombesin receptor-activated protein C6orf89,CF089,Q6UWU4,221477,C6orf89,Human,RFU
GALNT7.10888.4.3,10888.4,3,SL008241,N-acetylgalactosaminyltransferase 7,GALT7,Q86SF2,51809,GALNT7,Human,RFU
MRAP2.10889.2.3,10889.2,3,SL017998,Melanocortin-2 receptor accessory protein 2,MRAP2,Q96G30,112609,MRAP2,Human,RFU
LCTL.10890.135.3,10890.135,3,SL018026,Lactase-like protein,LCTL,Q6UWM7,197021,LCTL,Human,RFU
OSMR.10892.8.3,10892.8,3,SL007619,Oncostatin-M-specific receptor subunit beta,OSMR,Q99650,9180,OSMR,Human,RFU
TMPRSS11B.10895.28.3,10895.28,3,SL017961,Transmembrane protease serine 11B,TM11B,Q86T26,132724,TMPRSS11B,Human,RFU
STMN2.10900.272.3,10900.272,3,SL013230,Stathmin-2,STMN2,Q93045,11075,STMN2,Human,RFU
STX8.10903.50.3,10903.5,3,SL017987,Syntaxin-8,STX8,Q9UNK0,9482,STX8,Human,RFU
CEACAM4.10910.6.3,10910.6,3,SL018022,Carcinoembryonic antigen-related cell adhesion molecule 4,CEAM4,O75871,1089,CEACAM4,Human,RFU
CHIC2.10914.4.3,10914.4,3,SL017985,Cysteine-rich hydrophobic domain-containing protein 2,CHIC2,Q9UKJ5,26511,CHIC2,Human,RFU
PLA2R1.10916.44.3,10916.44,3,SL013523,Secretory phospholipase A2 receptor,PLA2R,Q13018,22925,PLA2R1,Human,RFU
GNGT2.10917.40.3,10917.4,3,SL006983,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,GBGT2,O14610,2793,GNGT2,Human,RFU
CALN1.10933.107.3,10933.107,3,SL018094,Calcium-binding protein 8,CABP8,Q9BXU9,83698,CALN1,Human,RFU
CD58.10938.13.3,10938.13,3,SL003442,Lymphocyte function-associated antigen 3,sLFA-3,P19256,965,CD58,Human,RFU
WBP1.10943.36.3,10943.36,3,SL018267,WW domain-binding protein 1,WBP1,Q96G27,1650,WBP1,Human,RFU
STX6.10945.11.3,10945.11,3,SL006065,Syntaxin-6,Syntaxin-6,O43752,10228,STX6,Human,RFU
PLD3.10948.14.3,10948.14,3,SL008958,Phospholipase D3,PLD3,Q8IV08,23646,PLD3,Human,RFU
RPLP2.10949.59.3,10949.59,3,SL008009,60S acidic ribosomal protein P2,RLA2,P05387,6181,RPLP2,Human,RFU
CLEC2A.10953.14.3,10953.14,3,SL018252,C-type lectin domain family 2 member A,CLC2A,Q6UVW9,387836,CLEC2A,Human,RFU
CLEC10A.10955.4.3,10955.4,3,SL014095,C-type lectin domain family 10 member A,CLC10,Q8IUN9,10462,CLEC10A,Human,RFU
BET1L.10959.125.3,10959.125,3,SL005478,BET1-like protein,BET1L,Q9NYM9,51272,BET1L,Human,RFU
RARRES3.10961.15.3,10961.15,3,SL015329,Retinoic acid receptor responder protein 3,TIG3,Q9UL19,5920,RARRES3,Human,RFU
DEFB105A.10962.46.3,10962.46,3,SL012718,Beta-defensin 105,D105A,Q8NG35,245908,DEFB105A,Human,RFU
UCMA.10977.55.3,10977.55,3,SL017252,Unique cartilage matrix-associated protein,UCMA,Q8WVF2,221044,UCMA,Human,RFU
LRRK2.10990.21.3,10990.21,3,SL017128,Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,,LRRK2,Human,RFU
BGLAP.11067.13.3,11067.13,3,SL001791,Osteocalcin,Osteocalcin,P02818,632,BGLAP,Human,RFU
IL5.11071.1.3,11071.1,3,SL000481,Interleukin-5,IL-5,P05113,3567,IL5,Human,RFU
CLC.11094.104.3,11094.104,3,SL007361,Galectin-10,LPPL,Q05315,1178,CLC,Human,RFU
N6AMT1.11096.57.3,11096.57,3,SL018921,HemK methyltransferase family member 2,HEMK2,Q9Y5N5,29104,N6AMT1,Human,RFU
PDXK.11098.1.3,11098.1,3,SL007953,Pyridoxal kinase,PDXK,O00764,8566,PDXK,Human,RFU
TLR4.11101.18.3,11101.18,3,SL004489,Toll-like receptor 4,TLR4,O00206,7099,TLR4,Human,RFU
REG4.11102.22.3,11102.22,3,SL012561,Regenerating islet-derived protein 4,REG4,Q9BYZ8,83998,REG4,Human,RFU
CHI3L1.11104.13.3,11104.13,3,SL003340,Chitinase-3-like protein 1,YKL-40,P36222,1116,CHI3L1,Human,RFU
TENM3.11107.25.3,11107.25,3,SL007735,Teneurin-3,TEN3,Q9P273,55714,TENM3,Human,RFU
SVEP1.11109.56.3,11109.56,3,SL012540,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",SVEP1,Q4LDE5,79987,SVEP1,Human,RFU
TMEM119.11110.4.3,11110.4,3,SL019320,Transmembrane protein 119,TM119,Q4V9L6,,TMEM119,Human,RFU
TMEM167A.11112.18.3,11112.18,3,SL016490,Protein kish-A,KISHA,Q8TBQ9,153339,TMEM167A,Human,RFU
SPATA20.11117.2.3,11117.2,3,SL009460,Spermatogenesis-associated protein 20,SPT20,Q8TB22,64847,SPATA20,Human,RFU
NAT14.11120.49.3,11120.49,3,SL019329,N-acetyltransferase 14,NAT14,Q8WUY8,,NAT14,Human,RFU
SPG21.11122.97.3,11122.97,3,SL019337,Maspardin,SPG21,Q9NZD8,,SPG21,Human,RFU
TMEM132C.11128.29.3,11128.29,3,SL018134,Transmembrane protein 132C,T132C,Q8N3T6,92293,TMEM132C,Human,RFU
MTRF1L.11134.30.3,11134.3,3,SL019322,"Peptide chain release factor 1-like, mitochondrial",RF1ML,Q9UGC7,,MTRF1L,Human,RFU
CSF2RB.11137.43.3,11137.43,3,SL007194,Cytokine receptor common subunit beta,IL3RB,P32927,1439,CSF2RB,Human,RFU
RUNX3.11138.16.3,11138.16,3,SL006056,Runt-related transcription factor 3,RUNX3,Q13761,864,RUNX3,Human,RFU
TREML4.11139.4.3,11139.4,3,SL019312,Trem-like transcript 4 protein,TRML4,Q6UXN2,,TREML4,Human,RFU
COL1A1.11140.56.3,11140.56,3,SL007932,Collagen alpha-1(I) chain,CO1A1,P02452,1277,COL1A1,Human,RFU
ANGPTL1.11142.11.3,11142.11,3,SL012396,Angiopoietin-related protein 1,ANGL1,O95841,9068,ANGPTL1,Human,RFU
DEFB116.11144.10.3,11144.1,3,SL012527,Beta-defensin 116,DB116,Q30KQ4,245930,DEFB116,Human,RFU
TBX22.11146.4.3,11146.4,3,SL019339,T-box transcription factor TBX22,TBX22,Q9Y458,,TBX22,Human,RFU
TLR1.11149.3.3,11149.3,3,SL004490,Toll-like receptor 1,TLR1,Q15399,7096,TLR1,Human,RFU
NFE2L1.11154.3.3,11154.3,3,SL007421,Nuclear factor erythroid 2-related factor 1,NF2L1,Q14494,4779,NFE2L1,Human,RFU
COL6A5.11155.16.3,11155.16,3,SL019315,Collagen alpha-5(VI) chain,CO6A5,A8TX70,,COL6A5,Human,RFU
RNF122.11160.56.3,11160.56,3,SL019335,RING finger protein 122,RN122,Q9H9V4,,RNF122,Human,RFU
MTMR1.11167.6.3,11167.6,3,SL019330,Myotubularin-related protein 1,MTMR1,Q13613,,MTMR1,Human,RFU
MEGF10.11168.3.3,11168.3,3,SL019053,Multiple epidermal growth factor-like domains protein 10,MEG10,Q96KG7,,MEGF10,Human,RFU
MILR1.11173.29.3,11173.29,3,SL019119,Allergin-1,MILR1,Q7Z6M3,,MILR1,Human,RFU
THSD7A.11174.8.3,11174.8,3,SL011312,Thrombospondin type-1 domain-containing protein 7A,THS7A,Q9UPZ6,221981,THSD7A,Human,RFU
LPCAT2.11175.45.3,11175.45,3,SL018606,Lysophosphatidylcholine acyltransferase 2,PCAT2,Q7L5N7,,LPCAT2,Human,RFU
KRT5.11177.16.3,11177.16,3,SL006465,"Keratin, type II cytoskeletal 5",K2C5,P13647,3852,KRT5,Human,RFU
